game_name,price,achievements,total_reviews,positive_reviews,negative_reviews,current_players
Galactic Bowling,$19.99,30,9,2,7,0
Train Bandit,$0.99,12,33,28,5,0
Jolt Project,$4.99,0,0,0,0,0
Henosis™,Free,0,0,0,0,0
Two Weeks in Painland,Free,17,11,8,3,0
Wartune Reborn,Free,0,0,0,0,22
TD Worlds,$10.99,62,18,13,5,0
Legend of Rome - The Wrath of Mars,$9.99,0,1,1,0,0
MazM: Jekyll and Hyde,$14.99,25,41,39,2,3
Deadlings: Rotten Edition,$3.99,32,21,15,6,0
WARSAW RISING: City of Heroes,Free,42,306,206,100,7
Cthulhu Realms,Free,0,16,11,5,4
Clockwork Dungeon,$1.99,25,5,5,0,0
Unknown,Free,0,22,18,4,0
Diary of Lucie,$6.49,30,27,20,7,0
Alien Breed 3: Descent,$1.99,13,150,106,44,1
Hunting Unlimited 3,$9.99,0,23,23,0,0
Hero of the Kingdom II,$8.99,48,641,604,37,4
Super Naughty Maid 2,$15.99,0,328,264,64,3
KHIO,$9.99,0,3,2,1,0
Steam Squad,$17.99,32,23,8,15,0
Project: R.E.B.O.O.T 2,$0.49,0,16,6,10,0
Aerofly FS 2 Flight Simulator,$49.99,0,1171,933,238,6
Turtle Lu,$2.99,0,0,0,0,0
Kanjozoku Game レーサー Online Street Racing & Drift,$4.99,0,1640,1336,304,3
PowersVR,$9.99,4,48,27,21,0
Draw Your Game,$4.99,43,9,5,4,0
Pathfinders: Memories,$1.79,60,27,27,0,0
Bright Days in Quarantine,$1.99,10,18,15,3,0
UncleNeighbor:uncle Dating Simulator,$13.99,73,325,290,35,11
Dupio,$0.49,22,6,3,3,0
Home Office Tasker,$0.99,0,8,7,1,0
Terror In The Atomic Desert,$2.99,11,5,3,2,0
Unhappy Ever After,$0.99,0,17,9,8,0
DogFighter,$0.99,29,155,98,57,0
March Of Soldiers,$1.99,0,0,0,0,0
Bepuzzled Kittens Jigsaw Puzzle,$1.99,0,7,5,2,0
Dream Detective,$7.99,0,9,6,3,0
Tower of Shades,$1.99,0,19,14,5,0
Vanguard Princess,$2.24,0,794,529,265,0
IRON REBELLION,$24.99,0,470,399,71,9
Unknown,Free,0,6,2,4,0
Deadfall Adventures,$19.99,50,535,393,142,3
Who We Are Now,$14.99,0,9,7,2,0
Reigns: Game of Thrones,$3.99,10,254,183,71,2
CasinoRPG,Free,211,0,0,0,16
Fuyu no Tsuma,$1.99,0,0,0,0,0
Far Cry® 5,$59.99,72,63833,51266,12567,5147
Loot Collection: Mahjong,$1.99,0,5,1,4,0
INFERNO CLIMBER,$3.44,34,49,30,19,0
Grim Tales: The Heir Collector's Edition,$9.99,0,15,12,3,4
Mythos Ever After: A Cthulhu Dating Sim,$4.99,18,1,1,0,0
Pool Adventure,$0.99,0,8,5,3,0
Eternal Edge+ Prologue,Free,0,0,0,0,2
A Journey Through Valhalla,$5.99,20,4,3,1,0
Imposters: Countdown,Free,0,3,3,0,0
Colours of Magic: Aqua Teeter,$0.99,17,29,22,7,0
Forza Horizon 4,Free,178,51466,45913,5553,3841
Viking Warrior,$3.99,0,11,2,9,0
不可思议佣兵团,$3.99,0,2,1,1,0
Square Keeper,$4.99,12,5,4,1,0
Pension Day,$0.99,0,0,0,0,0
Slipstream 5000,$2.99,0,29,24,5,0
100 Doors: Escape from Work,$9.99,14,11,4,7,1
Project MIKHAIL: A Muv-Luv War Story,$19.99,0,203,133,70,2
Rezist: Tower Defense,$2.99,0,6,6,0,0
Max Payne,$9.99,0,6870,5958,912,78
Black Mansion,$0.99,0,0,0,0,0
Mirrorama,$4.99,12,21,18,3,0
Carrier Battles 4 Guadalcanal - Pacific War Naval Warfare,$29.99,0,151,136,15,2
Ballistic Machines,$1.99,0,0,0,0,0
Sally Face - Episode One,$2.99,35,7732,7531,201,202
Shibui Coliseum,$2.99,0,0,0,0,0
Crimson Spires,$19.99,14,60,51,9,0
Endline,$4.99,12,0,0,0,0
Realms VR,$0.99,0,1,1,0,0
AmazeD 3D,Free,10,0,0,0,0
MagicShop3D,$4.99,0,55,42,13,3
The Warrior Of Treasures,$0.99,0,18,15,3,0
Onmyoji in the Otherworld: Sayaka's Story,$19.99,0,4,3,1,0
Good Knight,$14.99,56,47,45,2,0
Red Crow Mysteries: Legion,$9.99,17,7,2,5,0
四国志でらっくす ～酒池肉うどん戦記～,$24.99,0,0,0,0,0
Crazy Critters - Combat Cats,Free,12,6,5,1,0
The Adventures of Jason and the Argonauts,$6.99,0,3,3,0,0
DC Wonder: Unlimited,$4.99,0,1,1,0,0
Halloween Puzzles,$1.99,0,4,1,3,0
I Walk Among Zombies Vol. 3,$14.99,0,58,46,12,2
Escape From School,Free,7,17,11,6,4
Aurion: Legacy of the Kori-Odan,$2.49,159,86,66,20,0
Superola Champion Edition,$4.99,46,6,6,0,0
Hentai Girlfriend Simulator,$1.99,3,26,16,10,0
Teleporter: World of Gamers (Alpha),Free,0,0,0,0,0
Automobilista 2,$39.99,0,3924,3571,353,1341
Marching Simulator,Free,0,0,0,0,0
Moon Farming - Prologue,Free,7,0,0,0,0
Oxygen Not Included,$8.49,48,44519,42755,1764,8811
Laruaville 10 Match 3 Puzzle,$9.99,0,2,0,2,1
Slot Shots Pinball Collection,$9.99,35,15,14,1,0
Laid-Back Camp - Virtual - Lake Motosu,$19.99,9,111,94,17,0
