rating,playtime,achievements_count,game_series_count,reviews_count
0.0,1,80,0,4
0.0,0,26,0,3
0.0,0,0,0,2
0.0,0,0,0,0
3.74,4,57,0,34
3.12,2,121,4,33
2.78,3,109,0,18
0.0,0,0,0,1
0.0,6,0,0,4
3.76,3,87,0,42
0.0,4,49,0,0
3.92,7,188,8,1375
0.0,4,49,0,1
3.67,1,28,0,6
3.87,1,0,8,367
4.13,1,0,0,173
0.0,4,20,0,4
3.85,17,107,2,1052
3.8,4,78,0,15
4.21,16,51,13,960
4.15,8,215,0,956
0.0,1,33,0,3
0.0,6,0,0,0
0.0,0,0,0,0
4.41,0,0,4,59
3.59,4,55,0,83
2.76,1,19,0,17
2.83,1,0,0,6
3.07,5,77,0,44
4.18,4,62,0,1103
0.0,1,44,0,0
0.0,3,60,0,4
0.0,3,5,0,5
0.0,0,0,0,0
3.42,3,52,0,43
3.82,1,0,4,95
3.94,1,0,4,105
2.59,1,44,0,29
2.42,1,11,0,12
3.09,2,14,0,11
3.64,9,86,0,11
0.0,3,30,0,1
4.34,13,65,5,1351
0.0,0,0,0,0
3.43,3,12,0,21
3.17,2,39,0,59
0.0,30,16,0,4
3.65,2,10,0,43
2.97,1,176,3,167
2.64,3,79,0,11
3.17,4,181,0,65
4.22,3,37,0,9
2.91,1,91,0,11
4.06,3,0,0,48
0.0,0,0,0,0
3.5,2,78,0,149
3.11,3,42,0,47
4.05,0,84,0,22
0.0,0,0,0,0
0.0,0,0,0,0
2.72,1,22,0,32
0.0,7,53,0,5
0.0,4,24,0,5
3.06,5,2,0,16
0.0,1,95,0,1
0.0,0,0,0,0
0.0,1,0,0,0
4.04,4,34,0,123
3.17,3,22,0,6
0.0,6,89,0,1
4.08,3,34,2,13
0.0,0,0,0,0
3.21,2,155,0,14
3.42,3,114,0,26
2.92,3,102,0,330
4.16,15,548,5,799
0.0,0,0,0,1
4.16,3,74,0,2263
3.58,6,70,0,59
3.36,7,115,0,151
3.03,3,69,0,32
3.17,4,91,0,65
0.0,0,52,0,2
3.74,5,167,0,39
2.88,4,12,0,17
3.0,1,36,0,11
2.89,4,101,0,35
0.0,7,0,0,2
3.11,2,28,0,9
0.0,0,0,0,0
0.0,4,20,0,0
4.2,5,59,0,180
0.0,4,0,0,2
3.14,3,46,0,7
3.35,2,92,1,151
3.84,1,28,0,92
2.63,5,84,0,49
2.13,2,37,0,15
2.6,1,40,0,128
3.89,6,53,0,47
0.0,1,38,0,1
3.67,1,0,3,293
2.79,1,0,0,42
3.7,4,57,0,69
3.13,3,36,0,31
3.27,3,106,0,22
0.0,4,30,0,4
2.84,1,2,0,37
0.0,4,29,0,3
3.86,2,17,0,108
2.81,1,110,0,21
4.26,9,18,1,793
0.0,0,0,0,0
0.0,2,5,0,1
3.0,1,21,0,29
3.85,4,181,0,158
4.09,1,28,0,47
0.0,0,128,0,5
3.0,1,12,0,11
3.3,2,30,0,20
0.0,1,34,0,4
0.0,0,0,0,0
0.0,2,20,0,3
0.0,2,29,0,2
0.0,1,25,0,1
0.0,0,22,0,1
0.0,8,30,0,1
0.0,0,0,0,0
0.0,4,20,0,2
0.0,0,0,0,1
0.0,7,13,0,1
0.0,0,0,0,1
0.0,0,0,0,1
0.0,25,30,0,1
0.0,2,0,0,5
3.09,1,17,0,22
3.62,6,49,0,8
0.0,3,169,0,3
0.0,0,24,0,2
0.0,3,0,0,1
0.0,0,0,0,0
0.0,6,0,0,0
3.74,3,93,0,404
0.0,0,24,0,0
3.62,1,24,0,8
3.66,5,122,0,623
3.52,3,112,0,77
0.0,5,22,0,5
2.46,2,40,0,65
0.0,0,0,0,0
2.9,1,107,0,10
0.0,2,35,3,4
4.28,4,50,0,171
2.4,4,34,0,75
2.81,4,0,0,86
0.0,3,59,0,0
0.0,0,0,0,0
3.31,4,36,0,35
0.0,6,73,0,4
3.22,1,36,0,9
0.0,1,12,0,4
3.79,1,55,0,14
4.16,2,0,2,295
0.0,3,93,0,1
3.81,3,235,0,99
2.57,1,0,0,7
0.0,1,0,0,5
0.0,5,21,0,5
0.0,1,0,0,0
3.92,0,14,0,12
0.0,6,0,0,0
0.0,0,0,0,0
0.0,12,38,0,1
0.0,1,107,0,3
2.95,2,27,3,127
2.81,1,40,0,21
0.0,1,8,0,1
0.0,3,0,0,2
0.0,3,0,0,0
3.33,0,0,0,6
0.0,0,0,0,0
3.91,2,35,0,90
0.0,0,0,0,1
2.88,2,232,0,279
0.0,0,0,0,1
3.16,3,40,0,38
0.0,1,54,0,2
4.27,3,65,0,871
0.0,1,0,0,5
0.0,0,5,0,1
4.08,3,16,0,12
1.71,1,21,0,14
3.33,4,150,0,171
0.0,1,0,0,0
1.29,1,0,0,7
0.0,1,0,0,4
3.56,4,72,0,18
0.0,3,109,0,4
3.86,7,220,19,1400
0.0,1,0,0,1
4.34,1,40,0,62
2.77,1,69,0,35
2.33,1,79,0,9
0.0,3,16,0,0
3.63,3,0,2,46
0.0,2,29,0,1
0.0,0,0,0,0
0.0,0,0,0,0
3.75,3,64,0,8
3.46,3,153,0,35
3.67,1,21,0,6
3.29,2,8,0,7
3.76,5,53,0,284
0.0,1,0,0,0
0.0,6,41,0,0
0.0,1,29,0,4
3.88,2,13,0,132
4.05,4,0,0,760
0.0,0,0,0,0
0.0,3,38,0,1
0.0,4,40,0,0
0.0,4,20,0,2
0.0,0,0,0,0
0.0,3,114,0,2
3.55,4,0,0,11
0.0,3,133,0,3
0.0,5,0,0,0
0.0,0,0,0,1
0.0,0,0,0,0
3.33,3,43,0,9
4.0,1,87,0,20
0.0,0,0,0,0
0.0,3,9,0,2
0.0,0,0,0,0
3.5,3,39,0,68
0.0,0,0,0,0
2.91,6,102,3,101
3.11,5,114,0,903
4.0,2,26,0,82
3.64,2,155,0,45
3.85,1,46,1,26
0.0,0,24,0,3
0.0,4,109,0,5
3.44,4,46,0,39
0.0,0,14,0,3
3.59,4,27,0,44
0.0,5,78,0,3
2.94,2,124,0,54
4.15,2,79,0,72
0.0,0,0,0,0
0.0,0,0,0,0
3.44,3,78,0,102
0.0,6,89,0,5
0.0,0,0,0,0
3.61,2,20,0,38
0.0,1,0,0,0
0.0,3,27,0,5
2.63,5,206,0,27
0.0,0,0,0,4
3.33,5,0,0,6
0.0,0,0,0,0
0.0,4,72,0,1
3.04,6,10,0,28
0.0,5,82,0,2
0.0,4,0,0,1
4.02,4,53,0,615
0.0,5,0,0,1
0.0,6,23,0,1
0.0,3,75,0,3
3.13,2,216,0,163
0.0,0,0,0,1
0.0,3,0,0,1
0.0,0,0,0,0
0.0,0,0,0,0
0.0,3,0,0,5
3.01,4,0,0,67
3.47,4,123,0,59
4.21,0,0,0,61
3.74,4,301,0,303
3.74,4,60,0,324
3.08,5,134,0,12
0.0,2,0,0,0
0.0,2,53,0,2
0.0,1,11,0,2
3.0,0,0,0,11
3.0,1,44,0,8
3.38,2,28,0,8
0.0,1,59,0,0
3.93,5,140,0,477
2.29,2,27,0,7
0.0,0,0,0,0
0.0,2,0,0,2
3.33,1,24,0,6
3.63,1,20,0,27
0.0,0,0,0,0
0.0,1,8,0,3
0.0,0,0,0,0
0.0,2,29,0,1
3.62,2,25,0,112
3.12,3,122,3,25
0.0,0,0,0,0
0.0,4,32,0,1
0.0,5,69,0,0
3.39,3,0,0,33
3.84,5,36,0,209
0.0,23,40,0,1
3.38,4,112,0,8
3.99,3,0,1,441
2.57,2,2,4,427
3.0,4,65,0,10
0.0,3,100,0,1
0.0,4,23,0,2
3.2,2,69,0,10
4.0,3,20,0,9
0.0,1,5,0,1
0.0,0,0,0,0
0.0,2,32,0,3
0.0,5,25,0,2
0.0,3,30,0,2
4.35,6,48,3,114
