id,name,rating,playtime,ratings_count,added_status_owned,ratings_by_owned
3498,Grand Theft Auto V,4.48,69,4289,8298,0.5168715353097132
4291,Counter-Strike: Global Offensive,3.57,59,2089,7821,0.26710139368367214
12020,Left 4 Dead 2,4.1,9,2107,7708,0.2733523611831863
4200,Portal 2,4.61,11,3613,7506,0.4813482547295497
5286,Tomb Raider (2013),4.06,11,2527,7299,0.346211809836964
802,Borderlands 2,4.05,10,2235,7244,0.30853119823302044
3328,The Witcher 3: Wild Hunt,4.67,50,3939,6766,0.5821755838013597
5679,The Elder Scrolls V: Skyrim,4.42,44,3033,6716,0.45160810005955926
3939,PAYDAY 2,3.49,9,1358,6669,0.20362872994451942
3439,Life is Strange,4.11,7,2481,6656,0.3727463942307692
13536,Portal,4.52,4,3050,6402,0.4764136207435177
4062,BioShock Infinite,4.39,12,2769,6242,0.443607818007049
19103,Half-Life 2: Lost Coast,3.44,1,787,6123,0.12853176547444065
766,Warframe,3.47,7,1332,6086,0.21886296418008544
3272,Rocket League,4.01,18,1851,6073,0.30479170097151326
1030,Limbo,4.16,3,2239,6032,0.3711870026525199
32,Destiny 2,3.63,3,1690,6032,0.2801724137931034
4286,BioShock,4.39,3,2295,6007,0.382054270018312
13537,Half-Life 2,4.5,7,2516,5966,0.4217230975527992
11936,Half-Life 2: Deathmatch,3.33,1,619,5776,0.10716759002770083
23027,The Walking Dead: Season 1,4.28,8,1608,5546,0.28993869455463395
4459,Grand Theft Auto IV,4.24,9,1858,5541,0.33531853456054866
422,Terraria,4.0,12,1383,5520,0.2505434782608696
29028,Metro 2033,3.91,3,1377,5480,0.25127737226277375
13668,Amnesia: The Dark Descent,3.62,1,796,5441,0.14629663664767506
2454,DOOM (2016),4.39,11,2424,5329,0.4548695815349972
11935,Half-Life Deathmatch: Source,3.26,1,498,5282,0.09428246876183263
3192,Metal Gear Solid V: The Phantom Pain,4.17,28,1785,5157,0.3461314717859221
10035,HITMAN,3.92,7,1371,5134,0.2670432411375146
4332,Spec Ops: The Line,4.06,5,1307,5103,0.2561238487164413
16944,The Witcher 2: Assassins of Kings Enhanced Edition,4.21,7,1381,5103,0.27062512247697434
19710,Half-Life 2: Episode One,4.39,4,1288,5071,0.25399329520804576
10754,BioShock Remastered,4.27,3,866,5050,0.1714851485148515
17540,Injustice: Gods Among Us Ultimate Edition,3.59,5,911,5025,0.18129353233830844
19709,Half-Life 2: Episode Two,4.44,5,1265,5014,0.25229357798165136
3790,Outlast,3.66,3,1116,4991,0.2236024844720497
13633,Sid Meier's Civilization V,4.3,25,1397,4955,0.28193743693239154
28179,SEGA Mega Drive and Genesis Classics,3.06,3,364,4935,0.07375886524822695
4386,Saints Row: The Third,3.93,14,1344,4849,0.27717055062899565
9721,Garry's Mod,3.75,12,958,4824,0.19859038142620233
11973,Middle-earth: Shadow of Mordor,3.89,14,1693,4772,0.35477787091366303
28,Red Dead Redemption 2,4.57,20,2949,4745,0.6214963119072708
4252,Mirror's Edge,4.07,3,1504,4688,0.32081911262798635
4828,Borderlands,3.86,10,1394,4680,0.29786324786324786
3287,Batman: Arkham Knight,4.22,20,1708,4654,0.3669961323592609
1447,Deus Ex: Mankind Divided,3.95,9,1372,4624,0.2967128027681661
11934,Counter-Strike: Source,3.7,7,915,4608,0.19856770833333334
19487,Alan Wake,4.13,5,1419,4603,0.3082772105148816
4003,GRID 2,3.32,4,552,4480,0.12321428571428572
362,For Honor,3.3,7,1183,4468,0.2647717099373321
4513,Just Cause 2,3.62,3,897,4407,0.20353982300884957
11435,Viscera Cleanup Detail: Shadow Warrior,2.57,2,427,4392,0.09722222222222222
4223,The Darkness II,3.7,4,735,4369,0.16823071641107806
3017,Just Cause 3,3.33,7,1057,4330,0.2441108545034642
4514,L.A. Noire,4.16,8,1420,4327,0.3281719436098914
58175,God of War,4.6,20,2904,4241,0.6847441641122377
278,Horizon Zero Dawn,4.35,7,2440,4181,0.5835924419995216
4502,Darksiders,3.75,3,837,4153,0.20154105465928246
18080,Half-Life,4.38,3,1423,4148,0.3430568948891032
4570,Dead Space,4.37,2,1449,4107,0.3528122717311907
108,Mortal Kombat X,3.86,7,1398,4082,0.34247917687408136
2361,Psychonauts,4.02,4,599,4076,0.1469578017664377
11142,BioShock 2 Remastered,4.02,4,614,4065,0.15104551045510456
3636,The Last Of Us Remastered,4.7,16,2129,4059,0.5245134269524513
10989,Paladins,3.11,5,902,4049,0.2227710545813781
3191,Mad Max,3.73,12,1181,3988,0.2961384152457372
4599,Saints Row 2,3.57,2,606,3979,0.15229957275697412
13535,Left 4 Dead,4.11,6,1053,3947,0.2667848999239929
2462,Uncharted 4: A Thief’s End,4.53,0,2526,3945,0.6403041825095057
416,Grand Theft Auto: San Andreas,4.5,2,2183,3934,0.5549059481443823
10065,Cities: Skylines,4.15,8,951,3907,0.24340926542103916
4161,Far Cry 3,4.23,16,1726,3836,0.4499478623566215
17576,Batman: Arkham City - Game of the Year Edition,4.39,9,995,3800,0.2618421052631579
18240,Brothers - A Tale of Two Sons,4.19,3,1130,3756,0.30085197018104365
3931,Saints Row IV,3.81,13,1033,3693,0.27971838613593286
1010,Transistor,4.18,4,1095,3688,0.29690889370932755
3740,FEZ,4.0,2,905,3673,0.24639259460931118
12447,The Elder Scrolls V: Skyrim Special Edition,4.44,6,1216,3665,0.33178717598908597
4806,Mass Effect 2,4.47,21,2046,3659,0.559169171904892
10548,Darksiders Warmastered Edition,3.66,5,619,3659,0.169171904892047
28492,Dead Island,3.43,7,924,3651,0.2530813475760066
19365,Homefront,2.9,2,538,3637,0.14792411328017596
3678,War Thunder,3.24,5,597,3554,0.16797974113674732
1416,Mafia II,4.14,13,1329,3534,0.3760611205432937
3556,Alien: Isolation,4.21,4,895,3524,0.2539727582292849
3841,Assassin’s Creed IV: Black Flag,4.06,26,1544,3517,0.43901052032982657
